commune_nom;voie_nom;commune_insee
Paris;Rue Vauvenargues;75118
Paris;Rue Morlot;75109
Paris;Boulevard de Charonne;75111
Paris;Rue Maryse Bastié;75113
Paris;Avenue du Parc des Princes;75116
Paris;Avenue de la Chapelle;75117
Paris;Rue Jean Arp;75113
Paris;Rue Archereau;75119
Paris;Rue Félibien;75106
Paris;Boulevard Saint-Germain;75107
Paris;Rue d'Olivet;75107
Paris;Rue de Florence;75108
Paris;Rue de Chabrol;75110
Paris;Rue du Faubourg Poissonnière;75109
Paris;Rue Bouchardon;75110
Paris;Cité Voltaire;75111
Paris;Rue Basfroi;75111
Paris;Rue Olivier de Serres;75115
Paris;Cité de la Roquette;75111
Paris;Rue Alphonse Karr;75119
Paris;Rue du Dessous des Berges;75113
Paris;Rue de Tolbiac;75113
Paris;Rue de Sèvres;75107
Paris;Avenue de Breteuil;75107
Paris;Voie J/8;75108
Paris;Rue de l'Abbé Grégoire;75106
Paris;Passage Jouffroy;75109
Paris;Rue du Helder;75109
Paris;Rue de la Saïda;75115
Paris;Boulevard Lefebvre;75115
Paris;Rue de Crimée;75119
Paris;Rue des Taillandiers;75111
Paris;Rue Cino Del Duca;75117
Paris;Boulevard Pereire;75117
Paris;Rue Clapeyron;75108
Paris;Passage Poncelet;75117
Paris;Rue Poncelet;75117
Paris;Passage Cottin;75118
Paris;Boulevard Barbès;75118
Paris;Rue du Département;75119
Paris;Rue Lepic;75118
Paris;Villa Thoréton;75115
Paris;Villa Cheysson;75116
Paris;Rue Feydeau;75102
Paris;Avenue Marceau;75108
Paris;Rue du Docteur Potain;75119
Paris;Rue Saint-Marc;75102
Paris;Rue Saint-Lazare;75108
Paris;Villa Malakoff;75116
Paris;Rue des Lyanes;75120
Paris;Rue Dubrunfaut;75112
Paris;Rue Ampère;75117
Paris;Rue Louise-Emilie de la Tour d'Auvergne;75109
Paris;Rue Saint-Ferdinand;75117
Paris;Square Beaujon;75108
Paris;Avenue du Général Michel Bizot;75112
Paris;Avenue de la Porte des Lilas;75119
Paris;Impasse Saint-François;75118
Paris;Rue de Trévise;75109
Paris;Rue Aubriot;75104
Paris;Rue de Verneuil;75107
Paris;Rue de l'Assomption;75116
Paris;11P1 Quai de Conti;75106
Paris;Square Bolivar;75119
Paris;Rue Jean Poulmarch;75110
Paris;23U2 Rue Watt;75113
Paris;Rue du Caporal Peugeot;75117
Paris;Rue du Commandant René Mouchotte;75114
Paris;Avenue Mozart;75116
Paris;Place du Général Gouraud;75107
Paris;Avenue du Président Wilson;75108
Paris;Avenue de la République;75111
Paris;Rue du Sentier;75102
Paris;Villa Pierre Ginier;75118
Paris;Avenue Gambetta;75120
Paris;Passage Tenaille;75114
Paris;Rue Grétry;75102
Paris;Rue Gaston Pinot;75119
Paris;Rue du Chevaleret;75113
Paris;Rue de la Gaîté;75114
Paris;Rue Charlemagne;75104
Paris;Cité Vaneau;75107
Paris;Rue de Charonne;75111
Paris;Rue de Vaucouleurs;75111
Paris;Avenue Pierre Ier de Serbie;75116
