Adresse,Nombre de pièces,Époque de construction,Type de location,Loyer minimum (€/m²),Loyer médian (€/m²),Loyer maximum (€/m²)
"Rue de la Mare, 75120 Paris",3 pièces,après 1990,non meublée,13.4,19.1,22.9
"Rue de la Mare, 75120 Paris",4 pièces et plus,avant 1946,meublée,13.4,19.1,22.9
"Rue de la Mare, 75120 Paris",4 pièces et plus,avant 1946,non meublée,13.4,19.1,22.9
"Rue de la Mare, 75120 Paris",4 pièces et plus,1946-1970,meublée,13.4,19.1,22.9
"Rue de la Mare, 75120 Paris",4 pièces et plus,1946-1970,non meublée,13.4,19.1,22.9
"Rue de la Mare, 75120 Paris",4 pièces et plus,1971-1990,meublée,13.4,19.1,22.9
"Rue de la Mare, 75120 Paris",4 pièces et plus,1971-1990,non meublée,13.4,19.1,22.9
"Rue de la Mare, 75120 Paris",4 pièces et plus,après 1990,meublée,13.4,19.1,22.9
"Rue de la Mare, 75120 Paris",4 pièces et plus,après 1990,non meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",1 pièce,avant 1946,meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",1 pièce,avant 1946,non meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",1 pièce,1946-1970,meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",1 pièce,1946-1970,non meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",1 pièce,1971-1990,meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",1 pièce,1971-1990,non meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",1 pièce,après 1990,meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",1 pièce,après 1990,non meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",2 pièces,avant 1946,meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",2 pièces,avant 1946,non meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",2 pièces,1946-1970,meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",2 pièces,1946-1970,non meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",2 pièces,1971-1990,meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",2 pièces,1971-1990,non meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",2 pièces,après 1990,meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",2 pièces,après 1990,non meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",3 pièces,avant 1946,meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",3 pièces,avant 1946,non meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",3 pièces,1946-1970,meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",3 pièces,1946-1970,non meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",3 pièces,1971-1990,meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",3 pièces,1971-1990,non meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",3 pièces,après 1990,meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",3 pièces,après 1990,non meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",4 pièces et plus,avant 1946,meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",4 pièces et plus,avant 1946,non meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",4 pièces et plus,1946-1970,meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",4 pièces et plus,1946-1970,non meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",4 pièces et plus,1971-1990,meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",4 pièces et plus,1971-1990,non meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",4 pièces et plus,après 1990,meublée,13.4,19.1,22.9
"Rue d'Anjou, 75108 Paris",4 pièces et plus,après 1990,non meublée,13.4,19.1,22.9
"Boulevard de Ménilmontant, 75111 Paris",1 pièce,avant 1946,meublée,24.1,34.4,41.3
"Boulevard de Ménilmontant, 75111 Paris",1 pièce,avant 1946,non meublée,20.7,29.6,35.5
"Boulevard de Ménilmontant, 75111 Paris",1 pièce,1946-1970,meublée,17.9,25.6,30.7
"Boulevard de Ménilmontant, 75111 Paris",1 pièce,1946-1970,non meublée,18.3,26.1,31.3
"Boulevard de Ménilmontant, 75111 Paris",1 pièce,1971-1990,meublée,19.4,27.7,33.2
"Boulevard de Ménilmontant, 75111 Paris",1 pièce,1971-1990,non meublée,17.4,24.9,29.9
"Boulevard de Ménilmontant, 75111 Paris",1 pièce,après 1990,meublée,17.2,24.6,29.5
"Boulevard de Ménilmontant, 75111 Paris",1 pièce,après 1990,non meublée,18.2,26,31.2
"Boulevard de Ménilmontant, 75111 Paris",2 pièces,avant 1946,meublée,19.0,27.1,32.5
"Boulevard de Ménilmontant, 75111 Paris",2 pièces,avant 1946,non meublée,16.7,23.8,28.6
"Boulevard de Ménilmontant, 75111 Paris",2 pièces,1946-1970,meublée,14.2,20.3,24.4
"Boulevard de Ménilmontant, 75111 Paris",2 pièces,1946-1970,non meublée,14.2,20.3,24.4
"Boulevard de Ménilmontant, 75111 Paris",2 pièces,1971-1990,meublée,14.2,20.3,24.4
"Boulevard de Ménilmontant, 75111 Paris",2 pièces,1971-1990,non meublée,14.2,20.3,24.4
"Boulevard de Ménilmontant, 75111 Paris",2 pièces,après 1990,meublée,14.2,20.3,24.4
"Boulevard de Ménilmontant, 75111 Paris",2 pièces,après 1990,non meublée,14.2,20.3,24.4
"Boulevard de Ménilmontant, 75111 Paris",3 pièces,avant 1946,meublée,14.2,20.3,24.4
"Boulevard de Ménilmontant, 75111 Paris",3 pièces,avant 1946,non meublée,14.2,20.3,24.4
"Boulevard de Ménilmontant, 75111 Paris",3 pièces,1946-1970,meublée,14.2,20.3,24.4
"Boulevard de Ménilmontant, 75111 Paris",3 pièces,1946-1970,non meublée,14.2,20.3,24.4
"Boulevard de Ménilmontant, 75111 Paris",3 pièces,1971-1990,meublée,14.2,20.3,24.4
"Boulevard de Ménilmontant, 75111 Paris",3 pièces,1971-1990,non meublée,14.2,20.3,24.4
"Boulevard de Ménilmontant, 75111 Paris",3 pièces,après 1990,meublée,14.2,20.3,24.4
"Boulevard de Ménilmontant, 75111 Paris",3 pièces,après 1990,non meublée,14.2,20.3,24.4
"Boulevard de Ménilmontant, 75111 Paris",4 pièces et plus,avant 1946,meublée,14.2,20.3,24.4
"Boulevard de Ménilmontant, 75111 Paris",4 pièces et plus,avant 1946,non meublée,14.2,20.3,24.4
"Boulevard de Ménilmontant, 75111 Paris",4 pièces et plus,1946-1970,meublée,14.2,20.3,24.4
"Boulevard de Ménilmontant, 75111 Paris",4 pièces et plus,1946-1970,non meublée,14.2,20.3,24.4
"Boulevard de Ménilmontant, 75111 Paris",4 pièces et plus,1971-1990,meublée,14.2,20.3,24.4
"Boulevard de Ménilmontant, 75111 Paris",4 pièces et plus,1971-1990,non meublée,14.2,20.3,24.4
"Boulevard de Ménilmontant, 75111 Paris",4 pièces et plus,après 1990,meublée,14.2,20.3,24.4
"Boulevard de Ménilmontant, 75111 Paris",4 pièces et plus,après 1990,non meublée,14.2,20.3,24.4
"Rue Joseph de Maistre, 75118 Paris",1 pièce,avant 1946,meublée,22.3,31.9,38.3
"Rue Joseph de Maistre, 75118 Paris",1 pièce,avant 1946,non meublée,19.6,28,33.6
"Rue Joseph de Maistre, 75118 Paris",1 pièce,1946-1970,meublée,18.6,26.6,31.9
"Rue Joseph de Maistre, 75118 Paris",1 pièce,1946-1970,non meublée,20.4,29.1,34.9
"Rue Joseph de Maistre, 75118 Paris",1 pièce,1971-1990,meublée,19.6,28,33.6
"Rue Joseph de Maistre, 75118 Paris",1 pièce,1971-1990,non meublée,21.3,30.4,36.5
"Rue Joseph de Maistre, 75118 Paris",1 pièce,après 1990,meublée,21.5,30.7,36.8
"Rue Joseph de Maistre, 75118 Paris",1 pièce,après 1990,non meublée,21.5,30.7,36.8
"Rue Joseph de Maistre, 75118 Paris",2 pièces,avant 1946,meublée,23.6,33.7,40.4
"Rue Joseph de Maistre, 75118 Paris",2 pièces,avant 1946,non meublée,20.8,29.7,35.6
"Rue Joseph de Maistre, 75118 Paris",2 pièces,1946-1970,meublée,20.9,29.8,35.8
"Rue Joseph de Maistre, 75118 Paris",2 pièces,1946-1970,non meublée,19.3,27.6,33.1
"Rue Joseph de Maistre, 75118 Paris",2 pièces,1971-1990,meublée,19.9,28.4,34.1
"Rue Joseph de Maistre, 75118 Paris",2 pièces,1971-1990,non meublée,17.2,24.5,29.4
"Rue Joseph de Maistre, 75118 Paris",2 pièces,après 1990,meublée,18.8,26.8,32.2
"Rue Joseph de Maistre, 75118 Paris",2 pièces,après 1990,non meublée,16.7,23.9,28.7
"Rue Joseph de Maistre, 75118 Paris",3 pièces,avant 1946,meublée,19.2,27.4,32.9
"Rue Joseph de Maistre, 75118 Paris",3 pièces,avant 1946,non meublée,16.8,24,28.8
"Rue Joseph de Maistre, 75118 Paris",3 pièces,1946-1970,meublée,16.8,24,28.8
"Rue Joseph de Maistre, 75118 Paris",3 pièces,1946-1970,non meublée,16.8,24,28.8
"Rue Joseph de Maistre, 75118 Paris",3 pièces,1971-1990,meublée,16.8,24,28.8
"Rue Joseph de Maistre, 75118 Paris",3 pièces,1971-1990,non meublée,16.8,24,28.8
"Rue Joseph de Maistre, 75118 Paris",3 pièces,après 1990,meublée,16.8,24,28.8
"Rue Joseph de Maistre, 75118 Paris",3 pièces,après 1990,non meublée,16.8,24,28.8
"Rue Joseph de Maistre, 75118 Paris",4 pièces et plus,avant 1946,meublée,16.8,24,28.8
"Rue Joseph de Maistre, 75118 Paris",4 pièces et plus,avant 1946,non meublée,16.8,24,28.8
"Rue Joseph de Maistre, 75118 Paris",4 pièces et plus,1946-1970,meublée,16.8,24,28.8
"Rue Joseph de Maistre, 75118 Paris",4 pièces et plus,1946-1970,non meublée,16.8,24,28.8
"Rue Joseph de Maistre, 75118 Paris",4 pièces et plus,1971-1990,meublée,16.8,24,28.8
"Rue Joseph de Maistre, 75118 Paris",4 pièces et plus,1971-1990,non meublée,16.8,24,28.8
"Rue Joseph de Maistre, 75118 Paris",4 pièces et plus,après 1990,meublée,16.8,24,28.8
"Rue Joseph de Maistre, 75118 Paris",4 pièces et plus,après 1990,non meublée,16.8,24,28.8
"Avenue Jean Aicard, 75111 Paris",1 pièce,avant 1946,meublée,24.1,34.4,41.3
"Avenue Jean Aicard, 75111 Paris",1 pièce,avant 1946,non meublée,21.1,30.2,36.2
"Avenue Jean Aicard, 75111 Paris",1 pièce,1946-1970,meublée,17.9,25.6,30.7
"Avenue Jean Aicard, 75111 Paris",1 pièce,1946-1970,non meublée,17.9,25.6,30.7
"Avenue Jean Aicard, 75111 Paris",1 pièce,1971-1990,meublée,19.4,27.7,33.2
"Avenue Jean Aicard, 75111 Paris",1 pièce,1971-1990,non meublée,18.9,27,32.4
"Avenue Jean Aicard, 75111 Paris",1 pièce,après 1990,meublée,17.4,24.9,29.9
"Avenue Jean Aicard, 75111 Paris",1 pièce,après 1990,non meublée,18.2,26,31.2
"Avenue Jean Aicard, 75111 Paris",2 pièces,avant 1946,meublée,19.0,27.1,32.5
"Avenue Jean Aicard, 75111 Paris",2 pièces,avant 1946,non meublée,16.4,23.4,28.1
"Avenue Jean Aicard, 75111 Paris",2 pièces,1946-1970,meublée,14.2,20.3,24.4
"Avenue Jean Aicard, 75111 Paris",2 pièces,1946-1970,non meublée,14.2,20.3,24.4
"Avenue Jean Aicard, 75111 Paris",2 pièces,1971-1990,meublée,14.2,20.3,24.4
"Avenue Jean Aicard, 75111 Paris",2 pièces,1971-1990,non meublée,14.2,20.3,24.4
"Avenue Jean Aicard, 75111 Paris",2 pièces,après 1990,meublée,14.2,20.3,24.4
"Avenue Jean Aicard, 75111 Paris",2 pièces,après 1990,non meublée,14.2,20.3,24.4
"Avenue Jean Aicard, 75111 Paris",3 pièces,avant 1946,meublée,14.2,20.3,24.4
"Avenue Jean Aicard, 75111 Paris",3 pièces,avant 1946,non meublée,14.2,20.3,24.4
"Avenue Jean Aicard, 75111 Paris",3 pièces,1946-1970,meublée,14.2,20.3,24.4
"Avenue Jean Aicard, 75111 Paris",3 pièces,1946-1970,non meublée,14.2,20.3,24.4
"Avenue Jean Aicard, 75111 Paris",3 pièces,1971-1990,meublée,14.2,20.3,24.4
"Avenue Jean Aicard, 75111 Paris",3 pièces,1971-1990,non meublée,14.2,20.3,24.4
"Avenue Jean Aicard, 75111 Paris",3 pièces,après 1990,meublée,14.2,20.3,24.4
"Avenue Jean Aicard, 75111 Paris",3 pièces,après 1990,non meublée,14.2,20.3,24.4
"Avenue Jean Aicard, 75111 Paris",4 pièces et plus,avant 1946,meublée,14.2,20.3,24.4
"Avenue Jean Aicard, 75111 Paris",4 pièces et plus,avant 1946,non meublée,14.2,20.3,24.4
"Avenue Jean Aicard, 75111 Paris",4 pièces et plus,1946-1970,meublée,14.2,20.3,24.4
"Avenue Jean Aicard, 75111 Paris",4 pièces et plus,1946-1970,non meublée,14.2,20.3,24.4
"Avenue Jean Aicard, 75111 Paris",4 pièces et plus,1971-1990,meublée,14.2,20.3,24.4
"Avenue Jean Aicard, 75111 Paris",4 pièces et plus,1971-1990,non meublée,14.2,20.3,24.4
"Avenue Jean Aicard, 75111 Paris",4 pièces et plus,après 1990,meublée,14.2,20.3,24.4
"Avenue Jean Aicard, 75111 Paris",4 pièces et plus,après 1990,non meublée,14.2,20.3,24.4
"Avenue Reille, 75114 Paris",1 pièce,avant 1946,meublée,23.6,33.7,40.4
"Avenue Reille, 75114 Paris",1 pièce,avant 1946,non meublée,20.7,29.6,35.5
"Avenue Reille, 75114 Paris",1 pièce,1946-1970,meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",1 pièce,1946-1970,non meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",1 pièce,1971-1990,meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",1 pièce,1971-1990,non meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",1 pièce,après 1990,meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",1 pièce,après 1990,non meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",2 pièces,avant 1946,meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",2 pièces,avant 1946,non meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",2 pièces,1946-1970,meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",2 pièces,1946-1970,non meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",2 pièces,1971-1990,meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",2 pièces,1971-1990,non meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",2 pièces,après 1990,meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",2 pièces,après 1990,non meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",3 pièces,avant 1946,meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",3 pièces,avant 1946,non meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",3 pièces,1946-1970,meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",3 pièces,1946-1970,non meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",3 pièces,1971-1990,meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",3 pièces,1971-1990,non meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",3 pièces,après 1990,meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",3 pièces,après 1990,non meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",4 pièces et plus,avant 1946,meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",4 pièces et plus,avant 1946,non meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",4 pièces et plus,1946-1970,meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",4 pièces et plus,1946-1970,non meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",4 pièces et plus,1971-1990,meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",4 pièces et plus,1971-1990,non meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",4 pièces et plus,après 1990,meublée,17.9,25.6,30.7
"Avenue Reille, 75114 Paris",4 pièces et plus,après 1990,non meublée,17.9,25.6,30.7
"Rue Dranem, 75111 Paris",1 pièce,avant 1946,meublée,24.1,34.4,41.3
"Rue Dranem, 75111 Paris",1 pièce,avant 1946,non meublée,21.1,30.2,36.2
"Rue Dranem, 75111 Paris",1 pièce,1946-1970,meublée,17.9,25.6,30.7
"Rue Dranem, 75111 Paris",1 pièce,1946-1970,non meublée,17.9,25.6,30.7
"Rue Dranem, 75111 Paris",1 pièce,1971-1990,meublée,19.4,27.7,33.2
"Rue Dranem, 75111 Paris",1 pièce,1971-1990,non meublée,18.9,27,32.4
"Rue Dranem, 75111 Paris",1 pièce,après 1990,meublée,17.4,24.9,29.9
"Rue Dranem, 75111 Paris",1 pièce,après 1990,non meublée,18.2,26,31.2
"Rue Dranem, 75111 Paris",2 pièces,avant 1946,meublée,19.0,27.1,32.5
"Rue Dranem, 75111 Paris",2 pièces,avant 1946,non meublée,16.4,23.4,28.1
"Rue Dranem, 75111 Paris",2 pièces,1946-1970,meublée,14.2,20.3,24.4
"Rue Dranem, 75111 Paris",2 pièces,1946-1970,non meublée,14.2,20.3,24.4
"Rue Dranem, 75111 Paris",2 pièces,1971-1990,meublée,14.2,20.3,24.4
"Rue Dranem, 75111 Paris",2 pièces,1971-1990,non meublée,14.2,20.3,24.4
"Rue Dranem, 75111 Paris",2 pièces,après 1990,meublée,14.2,20.3,24.4
"Rue Dranem, 75111 Paris",2 pièces,après 1990,non meublée,14.2,20.3,24.4
"Rue Dranem, 75111 Paris",3 pièces,avant 1946,meublée,14.2,20.3,24.4
"Rue Dranem, 75111 Paris",3 pièces,avant 1946,non meublée,14.2,20.3,24.4
"Rue Dranem, 75111 Paris",3 pièces,1946-1970,meublée,14.2,20.3,24.4
"Rue Dranem, 75111 Paris",3 pièces,1946-1970,non meublée,14.2,20.3,24.4
"Rue Dranem, 75111 Paris",3 pièces,1971-1990,meublée,14.2,20.3,24.4
"Rue Dranem, 75111 Paris",3 pièces,1971-1990,non meublée,14.2,20.3,24.4
"Rue Dranem, 75111 Paris",3 pièces,après 1990,meublée,14.2,20.3,24.4
"Rue Dranem, 75111 Paris",3 pièces,après 1990,non meublée,14.2,20.3,24.4
"Rue Dranem, 75111 Paris",4 pièces et plus,avant 1946,meublée,14.2,20.3,24.4
"Rue Dranem, 75111 Paris",4 pièces et plus,avant 1946,non meublée,14.2,20.3,24.4
"Rue Dranem, 75111 Paris",4 pièces et plus,1946-1970,meublée,14.2,20.3,24.4
"Rue Dranem, 75111 Paris",4 pièces et plus,1946-1970,non meublée,14.2,20.3,24.4
"Rue Dranem, 75111 Paris",4 pièces et plus,1971-1990,meublée,14.2,20.3,24.4
"Rue Dranem, 75111 Paris",4 pièces et plus,1971-1990,non meublée,14.2,20.3,24.4
"Rue Dranem, 75111 Paris",4 pièces et plus,après 1990,meublée,14.2,20.3,24.4
"Rue Dranem, 75111 Paris",4 pièces et plus,après 1990,non meublée,14.2,20.3,24.4
"Rue Alexandre Parodi, 75110 Paris",1 pièce,avant 1946,meublée,23.6,33.7,40.4
"Rue Alexandre Parodi, 75110 Paris",1 pièce,avant 1946,non meublée,20.7,29.6,35.5
"Rue Alexandre Parodi, 75110 Paris",1 pièce,1946-1970,meublée,17.9,25.6,30.7
"Rue Alexandre Parodi, 75110 Paris",1 pièce,1946-1970,non meublée,17.9,25.6,30.7
"Rue Alexandre Parodi, 75110 Paris",1 pièce,1971-1990,meublée,18.9,27,32.4
"Rue Alexandre Parodi, 75110 Paris",1 pièce,1971-1990,non meublée,21.8,31.2,37.4
"Rue Alexandre Parodi, 75110 Paris",1 pièce,après 1990,meublée,20.7,29.6,35.5
"Rue Alexandre Parodi, 75110 Paris",1 pièce,après 1990,non meublée,20.7,29.6,35.5
"Rue Alexandre Parodi, 75110 Paris",2 pièces,avant 1946,meublée,23.7,33.9,40.7
"Rue Alexandre Parodi, 75110 Paris",2 pièces,avant 1946,non meublée,17.8,25.4,30.5
"Rue Alexandre Parodi, 75110 Paris",2 pièces,1946-1970,meublée,16.3,23.3,28.0
"Rue Alexandre Parodi, 75110 Paris",2 pièces,1946-1970,non meublée,16.3,23.3,28.0
"Rue Alexandre Parodi, 75110 Paris",2 pièces,1971-1990,meublée,16.8,24,28.8
"Rue Alexandre Parodi, 75110 Paris",2 pièces,1971-1990,non meublée,13.4,19.1,22.9
"Rue Alexandre Parodi, 75110 Paris",2 pièces,après 1990,meublée,15.1,21.6,25.9
"Rue Alexandre Parodi, 75110 Paris",2 pièces,après 1990,non meublée,15.1,21.6,25.9
"Rue Alexandre Parodi, 75110 Paris",3 pièces,avant 1946,meublée,13.7,19.6,23.5
"Rue Alexandre Parodi, 75110 Paris",3 pièces,avant 1946,non meublée,13.7,19.6,23.5
"Rue Alexandre Parodi, 75110 Paris",3 pièces,1946-1970,meublée,13.7,19.6,23.5
"Rue Alexandre Parodi, 75110 Paris",3 pièces,1946-1970,non meublée,13.7,19.6,23.5
"Rue Alexandre Parodi, 75110 Paris",3 pièces,1971-1990,meublée,13.7,19.6,23.5
"Rue Alexandre Parodi, 75110 Paris",3 pièces,1971-1990,non meublée,13.7,19.6,23.5
"Rue Alexandre Parodi, 75110 Paris",3 pièces,après 1990,meublée,13.7,19.6,23.5
"Rue Alexandre Parodi, 75110 Paris",3 pièces,après 1990,non meublée,13.7,19.6,23.5
"Rue Alexandre Parodi, 75110 Paris",4 pièces et plus,avant 1946,meublée,13.7,19.6,23.5
"Rue Alexandre Parodi, 75110 Paris",4 pièces et plus,avant 1946,non meublée,13.7,19.6,23.5
"Rue Alexandre Parodi, 75110 Paris",4 pièces et plus,1946-1970,meublée,13.7,19.6,23.5
"Rue Alexandre Parodi, 75110 Paris",4 pièces et plus,1946-1970,non meublée,13.7,19.6,23.5
"Rue Alexandre Parodi, 75110 Paris",4 pièces et plus,1971-1990,meublée,13.7,19.6,23.5
"Rue Alexandre Parodi, 75110 Paris",4 pièces et plus,1971-1990,non meublée,13.7,19.6,23.5
"Rue Alexandre Parodi, 75110 Paris",4 pièces et plus,après 1990,meublée,13.7,19.6,23.5
"Rue Alexandre Parodi, 75110 Paris",4 pièces et plus,après 1990,non meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",1 pièce,avant 1946,meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",1 pièce,avant 1946,non meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",1 pièce,1946-1970,meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",1 pièce,1946-1970,non meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",1 pièce,1971-1990,meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",1 pièce,1971-1990,non meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",1 pièce,après 1990,meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",1 pièce,après 1990,non meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",2 pièces,avant 1946,meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",2 pièces,avant 1946,non meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",2 pièces,1946-1970,meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",2 pièces,1946-1970,non meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",2 pièces,1971-1990,meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",2 pièces,1971-1990,non meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",2 pièces,après 1990,meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",2 pièces,après 1990,non meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",3 pièces,avant 1946,meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",3 pièces,avant 1946,non meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",3 pièces,1946-1970,meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",3 pièces,1946-1970,non meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",3 pièces,1971-1990,meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",3 pièces,1971-1990,non meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",3 pièces,après 1990,meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",3 pièces,après 1990,non meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",4 pièces et plus,avant 1946,meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",4 pièces et plus,avant 1946,non meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",4 pièces et plus,1946-1970,meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",4 pièces et plus,1946-1970,non meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",4 pièces et plus,1971-1990,meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",4 pièces et plus,1971-1990,non meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",4 pièces et plus,après 1990,meublée,13.7,19.6,23.5
"Avenue d'Italie, 75113 Paris",4 pièces et plus,après 1990,non meublée,13.7,19.6,23.5
"Rue de Pommard, 75112 Paris",1 pièce,avant 1946,meublée,20.6,29.4,35.3
"Rue de Pommard, 75112 Paris",1 pièce,avant 1946,non meublée,18.1,25.8,31.0
"Rue de Pommard, 75112 Paris",1 pièce,1946-1970,meublée,17.7,25.3,30.4
"Rue de Pommard, 75112 Paris",1 pièce,1946-1970,non meublée,17.9,25.5,30.6
"Rue de Pommard, 75112 Paris",1 pièce,1971-1990,meublée,15.2,21.7,26.0
"Rue de Pommard, 75112 Paris",1 pièce,1971-1990,non meublée,15.2,21.7,26.0
"Rue de Pommard, 75112 Paris",1 pièce,après 1990,meublée,15.2,21.7,26.0
"Rue de Pommard, 75112 Paris",1 pièce,après 1990,non meublée,15.2,21.7,26.0
"Rue de Pommard, 75112 Paris",2 pièces,avant 1946,meublée,15.2,21.7,26.0
"Rue de Pommard, 75112 Paris",2 pièces,avant 1946,non meublée,15.2,21.7,26.0
"Rue de Pommard, 75112 Paris",2 pièces,1946-1970,meublée,15.2,21.7,26.0
"Rue de Pommard, 75112 Paris",2 pièces,1946-1970,non meublée,15.2,21.7,26.0
"Rue de Pommard, 75112 Paris",2 pièces,1971-1990,meublée,15.2,21.7,26.0
"Rue de Pommard, 75112 Paris",2 pièces,1971-1990,non meublée,15.2,21.7,26.0
"Rue de Pommard, 75112 Paris",2 pièces,après 1990,meublée,15.2,21.7,26.0
"Rue de Pommard, 75112 Paris",2 pièces,après 1990,non meublée,15.2,21.7,26.0
"Rue de Pommard, 75112 Paris",3 pièces,avant 1946,meublée,15.2,21.7,26.0
"Rue de Pommard, 75112 Paris",3 pièces,avant 1946,non meublée,15.2,21.7,26.0
"Rue de Pommard, 75112 Paris",3 pièces,1946-1970,meublée,15.2,21.7,26.0
"Rue de Pommard, 75112 Paris",3 pièces,1946-1970,non meublée,15.2,21.7,26.0
"Rue de Pommard, 75112 Paris",3 pièces,1971-1990,meublée,15.2,21.7,26.0
