name,latitude,longitude,type
Clown-Bar,48.8636232,2.3671745,restaurant
Biondi,48.8638211,2.3670738,restaurant
Rang,48.8680028,2.3732066,restaurant
Le Troisième Bureau,48.8656744,2.3707975,restaurant
Cannibale Café,48.86841,2.3793255,restaurant
Avé Maria,48.8644844,2.3730277,restaurant
Louloute,48.8534002,2.3787862,bar
Le Café des Anges,48.8554359,2.3744522,restaurant
Le Cyrano,48.8561021,2.3751898,restaurant
Brasserie Ménilmontant,48.8667776,2.3826288,cafe
Justine,48.8656774,2.3778866,restaurant
La Mercerie,48.8657437,2.3782276,bar
Le Scherkhan,48.8664143,2.3810502,cafe
Les marcheurs de planète,48.8567799,2.3773631,wine_bar
Paris Moulin de la Pointe / Massena,48.8249137,2.3571341,post_office
Paris Butte aux Cailles,48.8260261,2.3459422,post_office
Le Voltaire,48.8651691,2.3673694,restaurant
Sinorama,48.8263633,2.3601703,restaurant
Phở Banh Cuon 14,48.8263649,2.3595297,restaurant
Le Temps des Cerises,48.8278771,2.3505246,restaurant
Atelier 58,48.8350004,2.3270301,restaurant
Papa yoyo,48.8332286,2.315712,restaurant
Tapovan Paris,48.8448821,2.2821525,yoga_studio
Mian Mian,48.8413291,2.2990993,restaurant
Perlamatta,48.8407836,2.2882769,restaurant
Andia,48.8581109,2.27222,restaurant
Frog XVI,48.8646895,2.2880988,pub
The Canadian Embassy Pub,48.8802602,2.2852551,pub
Marché Poncelet,48.8791573,2.2968683,marketplace
Moulin Rouge,48.8841094,2.3323564,theatre
La Pétaudière,48.8869322,2.3399586,restaurant
Médiathèque Jean-Pierre Melville,48.8267459,2.3664051,library
Bar nouveau,48.8614833,2.357569,pub
Sookie,48.8615832,2.3650808,cafe
GrandCœur,48.859616,2.3534984,restaurant
Le Café Populaire,48.8470403,2.3693549,cafe
Marcello,48.8523273,2.3350061,restaurant
Café Jacquemart-André,48.8755021,2.3103942,restaurant
Linette,48.8600296,2.3006336,restaurant
Au Pied de Fouet,48.8516415,2.3185465,restaurant
Chez Germaine,48.8482525,2.3194882,restaurant
Chez l'Ami Jean,48.8604171,2.305956,restaurant
L'Astrance,48.8650879,2.2899274,restaurant
Unknown,48.8421585,2.3029483,post_box
Unknown,48.8405964,2.3041613,post_box
Unknown,48.8769705,2.292016,post_box
Fair Play Sport,48.853674,2.4053556,dojo
Yotaro sushi,48.8523799,2.4036853,restaurant
Unknown,48.8559899,2.3159343,post_box
Unknown,48.8553935,2.318422,post_box
Chapelle Saint-Vincent de Paul,48.8488472,2.3218448,place_of_worship
Doppio,48.8795968,2.3519355,restaurant
Unknown,48.8522625,2.3480342,post_box
Unknown,48.8474544,2.3181308,post_box
Unknown,48.8434009,2.305121,post_box
La Poste Paris-Porte d'Orléans,48.8227009,2.3260541,post_office
Paris Massena,48.8189682,2.3612271,post_office
Paris Crozatier,48.8469142,2.3813987,post_office
Unknown,48.8464198,2.3775114,post_box
Police nationale,48.8442218,2.3811783,police
Unknown,48.8444155,2.3816924,post_box
Unknown,48.8469709,2.3171693,post_box
Unknown,48.850407,2.3475208,post_box
Unknown,48.8499497,2.3494344,post_box
Unknown,48.8508803,2.3254696,post_box
Unknown,48.852227,2.3302639,post_box
Unknown,48.8469113,2.3137238,post_box
Unknown,48.8454808,2.3120037,post_box
Unknown,48.8444526,2.3181339,post_box
Unknown,48.8479947,2.3295614,post_box
Unknown,48.8484359,2.3427158,post_box
Unknown,48.8517684,2.3387959,post_box
Unknown,48.8507495,2.3326789,post_box
Unknown,48.8455266,2.301908,toilets
Unknown,48.8498328,2.3230579,toilets
Unknown,48.8513839,2.3427887,toilets
La Poste,48.8842024,2.3388617,post_office
Unknown,48.8475761,2.3025411,post_box
Unknown,48.856067,2.3097025,post_box
Unknown,48.8432625,2.3001667,post_box
Unknown,48.8417476,2.2994603,post_box
Unknown,48.84106,2.2969274,post_box
Esso,48.8391995,2.2925362,fuel
Unknown,48.8385197,2.28963,post_box
Unknown,48.8310773,2.2770656,parking
Unknown,48.8286533,2.2736753,post_box
Unknown,48.8373276,2.2964697,post_box
Unknown,48.8371799,2.296796,toilets
Unknown,48.8360161,2.2934175,toilets
Unknown,48.8395472,2.3014345,post_box
Pathé Parnasse,48.8430732,2.3244918,cinema
UGC Rotonde,48.8424534,2.3289276,cinema
UGC Montparnasse,48.8434993,2.3257407,cinema
Gaumont Montparnos,48.842029,2.3243639,cinema
Unknown,48.8420623,2.2966075,fountain
Paris Saint-Lambert,48.8448696,2.2974529,post_office
Unknown,48.8395778,2.3094998,post_box
Unknown,48.8430566,2.3069487,post_box
Pharmacie Lecourbe Cambronne,48.8427695,2.3027722,pharmacy
Pharmacie Kries,48.8416259,2.3030314,pharmacy
Au Général Beuret,48.8416889,2.3031557,cafe
Le Wallace,48.8420492,2.3029211,bar
Unknown,48.8550692,2.3535894,post_box
Unknown,48.856892,2.3534398,post_box
Unknown,48.8441911,2.3082755,post_box
Les Artisans,48.8428811,2.3031391,cafe
Unknown,48.8473525,2.3160099,post_box
Dandelion,48.8544589,2.4006544,restaurant
The Financier,48.8425946,2.3237083,bar
Le Miramar,48.8432872,2.3245561,cinema
Parc Beaubourg,48.8616604,2.3534664,parking
Lourmel,48.8390914,2.2825626,toilets
Unknown,48.8391053,2.2826834,post_box
Unknown,48.8532392,2.3117341,post_box
Unknown,48.8446716,2.3110739,toilets
Saint-Germain des Prés,48.8541427,2.331432,parking
Bourdon - Pont Morland,48.8477077,2.3659262,bicycle_rental
Unknown,48.8480731,2.3678319,post_box
Unknown,48.8537482,2.3105482,post_box
Unknown,48.853661,2.3238906,post_box
Unknown,48.8500899,2.3482015,post_box
Garage Sully,48.8502593,2.3620655,parking
Garage Sully,48.8501676,2.3621707,fuel
Cinéma Chaplin,48.8430793,2.2985273,cinema
Unknown,48.8578208,2.3101864,post_box
Unknown,48.8578708,2.3103454,fountain
Total,48.859328,2.3146561,fuel
Unknown,48.8585003,2.3229386,post_box
Unknown,48.8506289,2.3455225,post_box
Le Nouvel Institut,48.8492048,2.3556646,cafe
Unknown,48.8452732,2.3692535,toilets
Unknown,48.8330905,2.3364353,post_box
Bibliothèque Buffon,48.8424666,2.3618413,library
Unknown,48.836146,2.3103122,post_box
Unknown,48.8364203,2.3067894,post_box
Unknown,48.8374026,2.3058911,post_box
Unknown,48.8428588,2.2978161,toilets
Unknown,48.8484351,2.3283496,post_box
Unknown,48.8506968,2.3304239,post_box
Unknown,48.851333,2.3624841,post_box
Unknown,48.8452225,2.3735396,post_box
Unknown,48.8447936,2.373569,post_box
Unknown,48.8569567,2.3216809,post_box
Unknown,48.8558794,2.320615,post_box
Unknown,48.8543421,2.3306133,post_box
Bac-Montalembert,48.8566284,2.3271644,parking_entrance
Unknown,48.8406162,2.3547791,parking
Unknown,48.8507842,2.3284127,post_box
Unknown,48.8500011,2.3270079,post_box
Unknown,48.8477691,2.32331,post_box
Pharmacie de l'Assemblée,48.8598508,2.3183041,pharmacy
Unknown,48.8597204,2.3183152,post_box
Le Cristal,48.845782,2.3098769,cafe
Unknown,48.8473352,2.3109589,toilets
Unknown,48.8476453,2.3135075,post_box
Unknown,48.8500676,2.3175242,post_box
Pharmacie de Varenne,48.854037,2.324019,pharmacy
Le Babylone,48.851795,2.3250816,cafe
Unknown,48.8516214,2.3251723,toilets
Unknown,48.8441669,2.3200259,post_box
Unknown,48.8383169,2.3484363,post_box
Unknown,48.8544507,2.2963604,post_box
Paris Champ de Mars,48.8586271,2.3007824,post_office
BP,48.8609726,2.2828299,fuel
La Poste Paris Georges Brassens,48.8296368,2.2975779,post_office
Le Petit Littré,48.8450378,2.3240399,restaurant
Forum Café,48.8460429,2.3238386,pub
Paris Bourse,48.869756,2.3414883,post_office
Gildas Delamer,48.8395987,2.2669254,restaurant
Kléber Trocadero,48.8661306,2.2897626,parking_entrance
Kléber Trocadero,48.8664558,2.2899974,parking_entrance
SG,48.8671055,2.3471442,bank
Unknown,48.8451704,2.3284896,post_box
